"ticket","year","country","error","mape","disper","esg_score","esg_comb","env_pillar","social_pillar","gov_pillar","qanalyst"
"028260.KS",2022,"Korea; Republic (S. Korea)",0.995,0.002,0.137,72.71,72.71,74,57.66,77,17
"028260.KS",2023,"Korea; Republic (S. Korea)",0.994,0.002,0.092,70.53,70.53,74,54.28,77,14
"028300.KQ",2014,"Korea; Republic (S. Korea)",0.124,0.002,0.066,15,15,15,17,15,0
"028300.KQ",2015,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"028300.KQ",2016,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"028300.KQ",2017,"Korea; Republic (S. Korea)",0,0,0,15,15,17.86,17,15,0
"028300.KQ",2018,"Korea; Republic (S. Korea)",0,0,0,15,15,17.86,17,15,1
"028300.KQ",2019,"Korea; Republic (S. Korea)",0.99,0.002,0,15,15,18.83,17,15,0
"028300.KQ",2020,"Korea; Republic (S. Korea)",0,0,0,15,15,30.44,17,15,1
"028300.KQ",2021,"Korea; Republic (S. Korea)",1.141,0.002,0,23.4,23.4,42.23,29.33,15,0
"028300.KQ",2022,"Korea; Republic (S. Korea)",0,0,0,34.39,34.39,59.73,36.51,19.66,0
"028300.KQ",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"028670.KS",2014,"Korea; Republic (S. Korea)",1,0.002,0.058,24.83,24.83,15.76,17,51.45,0
"028670.KS",2015,"Korea; Republic (S. Korea)",0,0,0,16.25,16.25,15.14,17,18.82,1
"028670.KS",2016,"Korea; Republic (S. Korea)",1,0.002,0,17.52,17.52,18.66,17,20.17,6
"028670.KS",2017,"Korea; Republic (S. Korea)",1,0.002,0.112,15,15,15,17,15,12
"028670.KS",2018,"Korea; Republic (S. Korea)",1,0.002,0.195,23.79,23.79,15,17,70.07,13
"028670.KS",2019,"Korea; Republic (S. Korea)",1,0.002,0.049,24.74,24.74,15,17,75.1,11
"028670.KS",2020,"Korea; Republic (S. Korea)",1,0.002,0.063,33.61,33.61,20.77,17.66,69.76,12
"028670.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.089,36.8,36.8,22.28,21.61,73.98,11
"028670.KS",2022,"Korea; Republic (S. Korea)",1,0.002,0.102,66.03,66.03,69.95,53.28,77,12
"028670.KS",2023,"Korea; Republic (S. Korea)",1,0.002,0.055,15,15,15,17,15,13
"030000.KS",2014,"Korea; Republic (S. Korea)",0.953,0.002,0.084,21.82,21.82,41.36,18.12,20.18,18
"030000.KS",2015,"Korea; Republic (S. Korea)",0.972,0.002,0.063,24.03,24.03,27.12,29.3,16.05,17
"030000.KS",2016,"Korea; Republic (S. Korea)",0.692,0.002,0.087,24.3,24.3,27.24,30.74,15,19
"030000.KS",2017,"Korea; Republic (S. Korea)",0,0,0.085,20.79,20.79,27.91,22.51,16.16,17
"030000.KS",2018,"Korea; Republic (S. Korea)",0,0,0.079,18.75,18.75,33.39,21.56,15,14
"030000.KS",2019,"Korea; Republic (S. Korea)",0,0,0.027,22.01,22.01,31.67,25.23,15,19
"030000.KS",2020,"Korea; Republic (S. Korea)",0,0,0.056,22.77,22.77,16.81,31.36,15,19
"030000.KS",2021,"Korea; Republic (S. Korea)",0,0,0.069,44.43,44.43,66.55,60.71,15.61,17
"030000.KS",2022,"Korea; Republic (S. Korea)",0.728,0.002,0.081,59.66,59.66,74,71.31,39.09,15
"030000.KS",2023,"Korea; Republic (S. Korea)",0,0,0.072,15,15,15,17,15,15
"030200.KS",2014,"Korea; Republic (S. Korea)",0.939,0.002,0.092,67.5,38.24,64.36,59.71,77,32
"030200.KS",2015,"Korea; Republic (S. Korea)",1.845,0.002,0.362,72.36,72.36,69.79,66.32,77,30
"030200.KS",2016,"Korea; Republic (S. Korea)",0.708,0.002,0.11,74,74,74,73.56,77,31
"030200.KS",2017,"Korea; Republic (S. Korea)",0.179,0.002,0.079,74,74,74,76,77,26
"030200.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.097,74,74,74,76,77,26
"030200.KS",2019,"Korea; Republic (S. Korea)",1.294,0.002,0.099,74,74,73.37,76,77,30
"030200.KS",2020,"Korea; Republic (S. Korea)",1,0.002,0.125,74,74,70.34,76,77,32
"030200.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.132,72.38,72.38,68.53,74.13,71.81,28
"030200.KS",2022,"Korea; Republic (S. Korea)",0.999,0.002,0.14,15,15,15,17,15,24
"030200.KS",2023,"Korea; Republic (S. Korea)",0.999,0.002,0.063,15,15,15,17,15,24
"032500.KQ",2014,"Korea; Republic (S. Korea)",0.049,0.002,0.274,15,15,15,17,15,1
"032500.KQ",2015,"Korea; Republic (S. Korea)",0.991,0.002,0,15,15,15,17,15,0
"032500.KQ",2016,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"032500.KQ",2017,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,3
"032500.KQ",2018,"Korea; Republic (S. Korea)",0,0,0.097,15,15,15,17,15,5
"032500.KQ",2019,"Korea; Republic (S. Korea)",0,0,0.362,15,15,15,17,23.27,5
"032500.KQ",2020,"Korea; Republic (S. Korea)",0,0,0.053,15,15,20.14,17,15,9
"032500.KQ",2021,"Korea; Republic (S. Korea)",0,0,0.362,15,15,17.61,23.47,15,2
"032500.KQ",2022,"Korea; Republic (S. Korea)",0,0,0.362,15,15,17.57,22.14,15,1
"032500.KQ",2023,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,1
"032640.KS",2014,"Korea; Republic (S. Korea)",0.761,0.002,0.053,35.61,34.47,27.43,37.81,37.47,30
"032640.KS",2015,"Korea; Republic (S. Korea)",0,0,0.1,37.32,37.32,25.69,37.34,46.19,28
"032640.KS",2016,"Korea; Republic (S. Korea)",0,0,0.047,38.77,38.77,41.46,41.49,31.24,28
"032640.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.026,47.98,47.98,42.95,41.96,63.89,25
"032640.KS",2018,"Korea; Republic (S. Korea)",0,0,0.027,43.46,43.46,45.27,30.83,67.42,29
"032640.KS",2019,"Korea; Republic (S. Korea)",0,0,0.063,51.94,51.94,53.62,39.33,75.94,31
"032640.KS",2020,"Korea; Republic (S. Korea)",0,0,0.057,74,74,65.77,76,72.45,33
"032640.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.155,70.31,70.31,67.36,76,43.61,27
"032640.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.083,67.4,67.4,62.48,76,36.71,25
"032640.KS",2023,"Korea; Republic (S. Korea)",0.875,0.002,0.052,61.75,50.42,67.35,74.66,31.56,25
"033780.KS",2014,"Korea; Republic (S. Korea)",1.025,0.002,0.171,58.13,58.13,74,41.34,67.99,29
"033780.KS",2015,"Korea; Republic (S. Korea)",0.665,0.002,0.053,53.97,53.97,66.19,38.73,66.85,25
"033780.KS",2016,"Korea; Republic (S. Korea)",0.682,0.002,0.071,52.94,52.94,65.93,33.8,71.71,28
"033780.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.056,55.35,55.35,55.24,48.44,67.45,31
"033780.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.069,61.53,61.53,68.13,51.64,71.34,27
"033780.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.055,74,74,74,76,77,28
"033780.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.054,74,74,74,76,77,27
"033780.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.048,74,74,74,76,77,23
"033780.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.086,74,62.74,74,71.9,77,19
"033780.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.094,15,15,15,17,15,22
"034020.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.026,73.49,73.49,72.53,76,69.56,31
"034020.KS",2015,"Korea; Republic (S. Korea)",0.258,0.002,0.362,71.38,71.38,74,72.97,62.72,21
"034020.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.362,74,74,74,76,73.37,19
"034020.KS",2017,"Korea; Republic (S. Korea)",0.835,0.002,0.362,74,74,74,76,62.47,17
"034020.KS",2018,"Korea; Republic (S. Korea)",1.66,0.002,0.362,74,74,74,75.25,62.85,10
"034020.KS",2019,"Korea; Republic (S. Korea)",1.651,0.002,0.362,68.65,68.65,74,62.97,60.4,4
"034020.KS",2020,"Korea; Republic (S. Korea)",1.473,0.002,0.362,65.88,65.88,74,65.24,46.81,0
"034020.KS",2021,"Korea; Republic (S. Korea)",0,0,0,67.69,67.69,74,70.84,45.34,2
"034020.KS",2022,"Korea; Republic (S. Korea)",0.37,0.002,0.362,66.05,66.05,74,70.56,40.13,1
"034020.KS",2023,"Korea; Republic (S. Korea)",0.237,0.002,0,15,15,15,17,15,4
"034220.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.185,72.83,72.83,69.73,65.5,77,42
"034220.KS",2015,"Korea; Republic (S. Korea)",0.376,0.002,0.091,68.05,59.03,63.32,64.16,77,39
"034220.KS",2016,"Korea; Republic (S. Korea)",0.187,0.002,0.089,69.68,69.68,65.21,65.35,77,37
"034220.KS",2017,"Korea; Republic (S. Korea)",0.193,0.002,0.233,74,74,64.28,76,77,36
"034220.KS",2018,"Korea; Republic (S. Korea)",1.324,0.002,0.046,73.78,73.78,67.6,76,72.01,35
"034220.KS",2019,"Korea; Republic (S. Korea)",1.295,0.002,0.362,74,74,69.01,76,77,30
"034220.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.109,73.84,73.84,71.46,76,71.11,30
"034220.KS",2021,"Korea; Republic (S. Korea)",1.503,0.002,0.184,69.76,69.76,63.08,76,71.4,32
"034220.KS",2022,"Korea; Republic (S. Korea)",0.521,0.002,0.108,68.22,68.22,65.07,71.22,69.05,29
"034220.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.141,15,15,15,17,15,25
"034230.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.116,15,15,15,17,30.59,25
"034230.KS",2015,"Korea; Republic (S. Korea)",0.209,0.002,0.095,16.67,16.67,15,17,48.95,20
"034230.KS",2016,"Korea; Republic (S. Korea)",0.728,0.002,0.151,17.28,17.28,15,17,55.58,22
"034230.KS",2017,"Korea; Republic (S. Korea)",1.773,0.002,0.089,15,15,15,17,41.06,21
"034230.KS",2018,"Korea; Republic (S. Korea)",1.104,0.002,0.362,15,15,15,17,46.07,19
"034230.KS",2019,"Korea; Republic (S. Korea)",0,0,0.362,15,15,15,17,46.27,22
"034230.KS",2020,"Korea; Republic (S. Korea)",0,0,0.206,15,15,15,17,38.04,19
"034230.KS",2021,"Korea; Republic (S. Korea)",0,0,0.182,15,15,15,17,17.59,14
"034230.KS",2022,"Korea; Republic (S. Korea)",0,0,0.307,15,15,15,17,15,12
"034230.KS",2023,"Korea; Republic (S. Korea)",1.064,0.002,0.362,15,15,15,17,15.3,13
"034730.KS",2014,"Korea; Republic (S. Korea)",1.063,0.002,0,52.68,52.68,55.58,44.17,63.58,9
"034730.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.091,61.6,61.6,57.95,53.4,77,21
"034730.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.125,59.57,59.57,57.92,55.54,69.17,18
"034730.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.104,63.15,63.15,71.7,61.73,61.81,18
"034730.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.151,67.25,67.25,65.42,62.39,71.99,14
"034730.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.101,67.47,67.47,67.5,59.46,74.36,13
"034730.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.138,71.9,71.9,66.34,63.38,77,14
"034730.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.325,74,64.41,63.79,76,77,12
"034730.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.243,74,74,61.32,76,77,13
"034730.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.235,15,15,15,17,15,13
"035250.KS",2014,"Korea; Republic (S. Korea)",1,0.002,0.014,69.26,69.26,67.31,76,54.9,29
"035250.KS",2015,"Korea; Republic (S. Korea)",0.998,0.002,0.044,66.67,66.67,68.87,68.4,62.1,26
"035250.KS",2016,"Korea; Republic (S. Korea)",1,0.002,0.03,72.79,72.79,70.71,76,65.53,23
"035250.KS",2017,"Korea; Republic (S. Korea)",0.999,0.002,0.041,66.54,66.54,66.08,74.84,54.5,20
"035250.KS",2018,"Korea; Republic (S. Korea)",1,0.002,0.043,61.49,61.49,66.43,65.85,50.52,20
"035250.KS",2019,"Korea; Republic (S. Korea)",0,0,0.072,66.64,66.64,74,68.51,55.31,20
"035250.KS",2020,"Korea; Republic (S. Korea)",1,0.002,0.045,63,63,64.63,62.02,62.99,18
"035250.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.362,45.62,45.62,63.62,53.96,16.92,17
"035250.KS",2022,"Korea; Republic (S. Korea)",1,0.002,0.362,15,15,15,17,15,16
"035250.KS",2023,"Korea; Republic (S. Korea)",1,0.002,0.172,15,15,15,17,15,16
"035420.KS",2014,"Korea; Republic (S. Korea)",0.906,0.002,0.244,47.29,47.29,15,29.78,72.9,38
"035420.KS",2015,"Korea; Republic (S. Korea)",0,0,0.082,55,55,20.82,36.94,77,29
"035420.KS",2016,"Korea; Republic (S. Korea)",0,0,0.082,53.9,53.9,15.12,33.05,77,37
"035420.KS",2017,"Korea; Republic (S. Korea)",1.633,0.002,0.059,55.7,55.7,22,33.92,77,37
"035420.KS",2018,"Korea; Republic (S. Korea)",1.566,0.002,0.082,49.73,49.73,24.13,21.99,77,34
"035420.KS",2019,"Korea; Republic (S. Korea)",0.664,0.002,0.08,52.15,52.15,25.1,32.22,77,32
"035420.KS",2020,"Korea; Republic (S. Korea)",0,0,0.136,67.99,67.99,38.08,59.75,77,35
"035420.KS",2021,"Korea; Republic (S. Korea)",0,0,0.197,74,74,37.47,75.58,77,31
"035420.KS",2022,"Korea; Republic (S. Korea)",0,0,0.218,74,50.4,44.25,74.43,77,33
"035420.KS",2023,"Korea; Republic (S. Korea)",0,0,0.11,15,15,15,17,15,35
"035720.KS",2014,"Korea; Republic (S. Korea)",0,0,0.156,15,15,15,17,15,34
"035720.KS",2015,"Korea; Republic (S. Korea)",0.526,0.002,0.362,47.62,47.62,15,34.71,73.03,33
"035720.KS",2016,"Korea; Republic (S. Korea)",0.702,0.002,0.209,45.75,45.75,15,31.36,71.86,35
"035720.KS",2017,"Korea; Republic (S. Korea)",0.886,0.002,0.162,53.31,53.31,19.19,45.25,70.49,32
"035720.KS",2018,"Korea; Republic (S. Korea)",0.746,0.002,0.089,60.37,60.37,15,59.21,75.12,31
"035720.KS",2019,"Korea; Republic (S. Korea)",0.914,0.002,0.331,54.08,54.08,15.75,57.88,62.31,33
"035720.KS",2020,"Korea; Republic (S. Korea)",0.693,0.002,0.109,70.91,70.91,39.46,66.24,77,35
"035720.KS",2021,"Korea; Republic (S. Korea)",0.158,0.002,0.111,74,74,42.2,68.21,77,29
"035720.KS",2022,"Korea; Republic (S. Korea)",1.035,0.002,0.239,74,56.05,74,76,77,31
"035720.KS",2023,"Korea; Republic (S. Korea)",2.014,0.002,0.107,15,15,15,17,15,32
"035760.KQ",2014,"Korea; Republic (S. Korea)",1,0.002,0.042,15,15,15,17,15,13
"035760.KQ",2015,"Korea; Republic (S. Korea)",0.994,0.002,0.082,15,15,15,17,15,12
"035760.KQ",2016,"Korea; Republic (S. Korea)",1.002,0.002,0.138,15,15,15,17,15,6
"035760.KQ",2017,"Korea; Republic (S. Korea)",1,0.002,0.085,19.95,19.95,15,17,50.44,6
"035760.KQ",2018,"Korea; Republic (S. Korea)",1.002,0.002,0.064,20.79,20.79,15,17,38.07,17
"035760.KQ",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.214,40.29,40.29,27.01,56.29,23.65,22
"035760.KQ",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.17,44.72,44.72,22.09,63.56,27.45,24
"035760.KQ",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.132,57.93,57.93,57.21,64.54,49.86,21
"035760.KQ",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.201,71.44,71.44,74,76,45.66,17
"035760.KQ",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.362,15,15,15,17,15,16
"035900.KQ",2014,"Korea; Republic (S. Korea)",1,0.002,0,15,15,15,17,15,0
"035900.KQ",2015,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"035900.KQ",2016,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,0
"035900.KQ",2017,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,2
"035900.KQ",2018,"Korea; Republic (S. Korea)",0.608,0.002,0.163,15,15,15,17,15,9
"035900.KQ",2019,"Korea; Republic (S. Korea)",1.102,0.002,0.042,15,15,15,17,15,11
"035900.KQ",2020,"Korea; Republic (S. Korea)",0.223,0.002,0.053,15,15,15,17,15,15
"035900.KQ",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.083,15,15,15,17,15,15
"035900.KQ",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.061,15,15,22.17,17,21.69,21
"035900.KQ",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.038,15,15,15,17,15,20
"036460.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.15,68.08,68.08,53.61,74.83,77,23
"036460.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.088,60.28,60.28,38.84,74.15,69.76,18
"036460.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.362,64.33,64.33,47.74,70.95,77,15
"036460.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.224,62.25,62.25,49.85,70.95,66.67,16
"036460.KS",2018,"Korea; Republic (S. Korea)",2.344,0.002,0.041,70.34,70.34,60.4,76,67.35,15
"036460.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.127,73.48,73.48,57.51,76,77,16
"036460.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.362,67.44,67.44,57.08,76,57.56,15
"036460.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.17,66.76,66.76,54.69,76,55.39,12
"036460.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.115,61.95,61.95,58.12,76,39.49,11
"036460.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.362,15,15,15,17,15,12
"036570.KS",2014,"Korea; Republic (S. Korea)",0,0,0,15,15,15,17,15,34
"036570.KS",2015,"Korea; Republic (S. Korea)",0,0,0.062,16.38,16.38,15,17.09,20.69,34
"036570.KS",2016,"Korea; Republic (S. Korea)",0,0,0.086,23.17,23.17,15,17,38.14,35
"036570.KS",2017,"Korea; Republic (S. Korea)",0,0,0.042,26.91,26.91,15,17,43.88,38
"036570.KS",2018,"Korea; Republic (S. Korea)",0,0,0.06,25.02,25.02,16.24,18.18,33.55,36
"036570.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.048,41.24,41.24,23.41,34.69,52.23,35
"036570.KS",2020,"Korea; Republic (S. Korea)",0,0,0.051,53.07,53.07,34.03,47.81,63.38,36
"036570.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.056,40.58,40.58,33.5,41.07,42.3,30
"036570.KS",2022,"Korea; Republic (S. Korea)",0,0,0.27,42.2,42.2,27.15,38.15,50.19,32
"036570.KS",2023,"Korea; Republic (S. Korea)",2.344,0.002,0.077,15,15,15,17,15,31
"042660.KS",2014,"Korea; Republic (S. Korea)",0,0,0.11,53.2,53.2,63.06,51.32,43.84,35
"042660.KS",2015,"Korea; Republic (S. Korea)",0,0,0.297,46.37,46.37,43.11,47.24,49.13,22
"042660.KS",2016,"Korea; Republic (S. Korea)",0,0,0.305,43.24,25.03,41.35,40.43,49.2,7
"042660.KS",2017,"Korea; Republic (S. Korea)",0,0,0.309,47.13,27.97,46.96,45.16,49.9,7
"042660.KS",2018,"Korea; Republic (S. Korea)",0.992,0.002,0.216,40.06,40.06,41.92,37.71,40.93,12
"042660.KS",2019,"Korea; Republic (S. Korea)",2.344,0.002,0.362,35.39,33.82,41.39,36.75,26.4,10
"042660.KS",2020,"Korea; Republic (S. Korea)",0,0,0.257,56.43,56.43,53.9,56.84,58.92,11
"042660.KS",2021,"Korea; Republic (S. Korea)",2.344,0.002,0.233,48.99,48.99,52.46,53.96,38.32,13
"042660.KS",2022,"Korea; Republic (S. Korea)",0,0,0.258,52.68,52.68,52.37,58.35,45.61,15
"042660.KS",2023,"Korea; Republic (S. Korea)",0,0,0.362,15,15,15,17,15,16
"042670.KS",2014,"Korea; Republic (S. Korea)",2.344,0.002,0.157,59.27,59.27,65.24,54.99,57.71,30
"042670.KS",2015,"Korea; Republic (S. Korea)",1,0.002,0.237,62.2,62.2,71.2,63.65,49.49,21
"042670.KS",2016,"Korea; Republic (S. Korea)",1.001,0.002,0.362,60.35,60.35,71.29,52.9,56.98,18
"042670.KS",2017,"Korea; Republic (S. Korea)",1,0.002,0.239,61.77,61.77,71.09,52.58,62.62,19
"042670.KS",2018,"Korea; Republic (S. Korea)",1,0.002,0.1,59.57,59.57,71.66,47.94,60.3,17
"042670.KS",2019,"Korea; Republic (S. Korea)",1,0.002,0.096,61.22,61.22,64.23,53.21,68.11,13
"042670.KS",2020,"Korea; Republic (S. Korea)",1,0.002,0.117,51.04,51.04,43.03,65.9,41.18,9
"042670.KS",2021,"Korea; Republic (S. Korea)",1,0.002,0.038,50.59,50.59,41.95,64.32,42.97,6
"042670.KS",2022,"Korea; Republic (S. Korea)",1,0.002,0.073,60.33,60.33,74,66.81,30.49,3
"042670.KS",2023,"Korea; Republic (S. Korea)",0.999,0.002,0.142,71.27,71.27,74,76,54.1,9
"046890.KQ",2014,"Korea; Republic (S. Korea)",0.439,0.002,0.123,15,15,15,17,35.31,27
"046890.KQ",2015,"Korea; Republic (S. Korea)",0.975,0.002,0.362,15,15,15,17,31.76,21
"046890.KQ",2016,"Korea; Republic (S. Korea)",0.977,0.002,0.313,30.37,30.37,20.45,41.82,23.36,13
"046890.KQ",2017,"Korea; Republic (S. Korea)",0.974,0.002,0.362,30.87,30.87,21.63,45,18.64,12
"046890.KQ",2018,"Korea; Republic (S. Korea)",0.931,0.002,0.078,27.1,27.1,16.44,38.41,21.21,11
"046890.KQ",2019,"Korea; Republic (S. Korea)",0.937,0.002,0.14,22.93,22.93,16.77,33.9,15,11
"046890.KQ",2020,"Korea; Republic (S. Korea)",0.853,0.002,0.141,24.05,24.05,20.75,31.18,16.26,12
"046890.KQ",2021,"Korea; Republic (S. Korea)",0.862,0.002,0.156,21.81,21.81,19.65,27.89,15,11
"046890.KQ",2022,"Korea; Republic (S. Korea)",0.892,0.002,0.174,22.4,22.4,20.65,29.8,15,8
"046890.KQ",2023,"Korea; Republic (S. Korea)",0.957,0.002,0.362,15,15,15,17,15,7
"047040.KS",2014,"Korea; Republic (S. Korea)",1.226,0.002,0.073,58.92,41.96,46.88,76,46.91,28
"047040.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.259,65.04,65.04,66.23,69.34,57.69,31
"047040.KS",2016,"Korea; Republic (S. Korea)",2.238,0.002,0.143,61.15,61.15,70.52,65.28,42.55,23
"047040.KS",2017,"Korea; Republic (S. Korea)",2.344,0.002,0.362,67.26,67.26,74,74,44.11,19
"047040.KS",2018,"Korea; Republic (S. Korea)",2.17,0.002,0.086,67.35,67.35,74,72.48,48.02,20
"047040.KS",2019,"Korea; Republic (S. Korea)",1.866,0.002,0.071,70.87,70.87,74,71.83,48.05,20
"047040.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.097,69.99,69.99,74,73.07,41.94,21
"047040.KS",2021,"Korea; Republic (S. Korea)",0.901,0.002,0.157,74,74,74,76,49.95,18
"047040.KS",2022,"Korea; Republic (S. Korea)",2.344,0.002,0.041,74,74,74,76,59.41,19
"047040.KS",2023,"Korea; Republic (S. Korea)",2.202,0.002,0.062,15,15,15,17,15,20
"047050.KS",2014,"Korea; Republic (S. Korea)",0,0,0,15.84,15.84,15,19.85,20.77,16
"047050.KS",2015,"Korea; Republic (S. Korea)",1,0.002,0.147,22.64,15.49,20,26.75,19.37,12
"047050.KS",2016,"Korea; Republic (S. Korea)",0.999,0.002,0.273,35.35,35.35,30.43,43.83,28.09,9
"047050.KS",2017,"Korea; Republic (S. Korea)",1,0.002,0.109,36.51,36.51,37.34,46.15,22.21,9
"047050.KS",2018,"Korea; Republic (S. Korea)",0.999,0.002,0.243,47.02,47.02,40.91,59.83,34.78,9
"047050.KS",2019,"Korea; Republic (S. Korea)",1,0.002,0.121,46.39,46.39,35.78,63.28,32.63,7
"047050.KS",2020,"Korea; Republic (S. Korea)",0.999,0.002,0.079,60.73,60.73,47.46,66.73,64.71,8
"047050.KS",2021,"Korea; Republic (S. Korea)",0.999,0.002,0.107,62.34,62.34,59.6,65.45,60.57,8
"047050.KS",2022,"Korea; Republic (S. Korea)",1,0.002,0.116,58.71,58.71,59.64,58.6,58.01,8
"047050.KS",2023,"Korea; Republic (S. Korea)",0.999,0.002,0.03,15,15,15,17,15,9
"047810.KS",2014,"Korea; Republic (S. Korea)",0.411,0.002,0.219,15,15,15,17,15,11
"047810.KS",2015,"Korea; Republic (S. Korea)",0.61,0.002,0.056,15,15,15,17,15,20
"047810.KS",2016,"Korea; Republic (S. Korea)",0.385,0.002,0.068,15,15,15,17,15,26
"047810.KS",2017,"Korea; Republic (S. Korea)",0.202,0.002,0.073,15,15,15,18.9,15,22
"047810.KS",2018,"Korea; Republic (S. Korea)",1.872,0.002,0.362,23.46,23.46,22.21,17.78,32.09,18
"047810.KS",2019,"Korea; Republic (S. Korea)",0.592,0.002,0.333,29.26,29.26,23.48,17,51.37,18
"047810.KS",2020,"Korea; Republic (S. Korea)",1.06,0.002,0.115,39.1,39.1,39.76,28.09,53.54,13
"047810.KS",2021,"Korea; Republic (S. Korea)",0.113,0.002,0.135,39.06,39.06,41.09,25.52,56.46,10
"047810.KS",2022,"Korea; Republic (S. Korea)",0.684,0.002,0.122,44.35,44.35,47.58,46.16,39.52,10
"047810.KS",2023,"Korea; Republic (S. Korea)",0.654,0.002,0.164,15,15,15,17,15,13
"051600.KS",2014,"Korea; Republic (S. Korea)",0.973,0.002,0.35,16.12,16.12,18.62,18.15,15,17
"051600.KS",2015,"Korea; Republic (S. Korea)",2.344,0.002,0.023,24.07,24.07,35.37,26.08,15,15
"051600.KS",2016,"Korea; Republic (S. Korea)",2.344,0.002,0.041,42.03,42.03,69.12,40.96,24.42,13
"051600.KS",2017,"Korea; Republic (S. Korea)",0.959,0.002,0.179,41.14,41.14,69.23,37.73,25.88,18
"051600.KS",2018,"Korea; Republic (S. Korea)",1.566,0.002,0.037,51.49,51.49,73.9,51.65,35.45,13
"051600.KS",2019,"Korea; Republic (S. Korea)",1.141,0.002,0.042,46.12,46.12,73.48,50.49,21.5,10
"051600.KS",2020,"Korea; Republic (S. Korea)",2.344,0.002,0.075,56.57,56.57,64.29,64.15,41.48,8
"051600.KS",2021,"Korea; Republic (S. Korea)",1.918,0.002,0.124,43.78,43.78,44.2,60.11,22.49,10
"051600.KS",2022,"Korea; Republic (S. Korea)",1.017,0.002,0.056,50.18,50.18,71.96,63.46,18.12,9
"051600.KS",2023,"Korea; Republic (S. Korea)",0.083,0.002,0.187,15,15,15,17,15,8
"051900.KS",2014,"Korea; Republic (S. Korea)",0,0,0.055,66.9,66.9,60.81,72.44,62.2,30
"051900.KS",2015,"Korea; Republic (S. Korea)",0,0,0.058,63.68,63.68,60.88,71.02,52.21,33
